Item Type,Title,Author,Death Year (AH),Kitab (كتاب),Bab (باب),Tahta Qawlihi (تحت قوله),Volume/Page (ج/ص),Hadith/Mas'alah No.,Publisher,Place,Edition,Publication Year (AH/CE),Language,Short Title,Tags
book,شرح الجامع الصغير,علامہ قوام الدین محمد بن محمد کاکی حنفی,٧٤٩ هـ,,,,,,دار الكتب العلمية,بيروت,,,Arabic,شرح الجامع الصغير,كتب فقه
book,شرح مختصر الطحاوي,امام احمد بن علی رازی جصاص حنفی,٣٧٠ هـ,,,,,,دار البشائر الإسلامية,بيروت,الطبعة الأولى,,Arabic,شرح مختصر الطحاوي,كتب فقه
book,صغيري,علامہ ابراہیم حلبی حنفی,٩٥٦ هـ,,,,,ميرمحمد كتب خانه,,,,Arabic,صغيري,كتب فقه
book,العناية شرح الهداية,علامہ اکمل الدین محمد بن محمود بابرتی حنفی,٧٨٦ هـ,,,,,,دار الفكر,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,العناية,كتب فقه
book,عمدة الرعاية,علامہ عبد الحی بن عبد الحلیم لکھنوی حنفی,١٣٠٤ هـ,,,,,,دار الكتب العلمية,بيروت,,,Arabic,عمدة الرعاية,كتب فقه
book,غرر الحكام,علامہ محمد بن فراموز ملا خسرو حنفی,٨٨٥ هـ,,,,,,ميرمحمد كتب خانه,,,,Arabic,غرر الحكام,كتب فقه
book,غنية ذوي الأحكام,علامہ حسن بن عمار شرنبلالی حنفی,١٠٦٩ هـ,,,,,,ميرمحمد كتب خانه,,,,Arabic,غنية ذوي الأحكام,كتب فقه
book,الفتاوى الهندية,شیخ نظام الدین وجماعة من علماء ہند حنفی,١١٦١ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,الفتاوى الهندية,كتب فقه
book,الفتاوى التاتارخانية,علامہ عالم بن علاء انصاری دہلوی حنفی,٧٨٦ هـ,,,,,,مكتبة فاروقية,كوئته,الطبعة الأولى,١٤٣١ هـ / ٢٠٠٠ م,Arabic,التاتارخانية,كتب فقه
book,فتاوى النوازل,امام ابو اللیث نصر بن محمد سمرقندی حنفی,٣٧٥ هـ,,,,,,ميرمحمد كتب خانه,,,,Arabic,فتاوى النوازل,كتب فقه
book,الفتاوى السراجية,علامہ سراج الدین علی بن عثمان اوشی حنفی,٥٦٩ هـ,,,,,,ميرمحمد كتب خانه,كوئته,,,Arabic,السراجية,كتب فقه
book,فتح باب العناية,علامہ ملا علی قاری حنفی,١٠١٤ هـ,,,,,,دار إحياء التراث العربي,بيروت,الطبعة الأولى,١٤٢٨ هـ / ٢٠٠٧ م,Arabic,فتح باب العناية,كتب فقه
book,فتح القدير,امام کمال الدین محمد بن عبد الواحد ابن الہمام حنفی,٨٦١ هـ,,,,,,دار إحياء التراث,بيروت,الطبعة الأولى,١٣٤٠ هـ,Arabic,فتح القدير,كتب فقه
book,فتاوى قاضي خان على هامش الهندية,امام حسن بن منصور اوزجندی قاضی خان حنفی,٥٩٢ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,فتاوى قاضيخان,كتب فقه
book,الفتاوى البزازية على هامش الهندية,علامہ محمد بن شہاب الدین ابن بزاز کردری حنفی,٨٢٧ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,البزازية,كتب فقه
book,فتاوى رضويه,امام احمد رضا خان حنفی,١٣٤٠ هـ,,,,,,رضا فاؤنڈيشن,لاهور,,١٤٢٣ هـ / ٢٠٠٣ م,Urdu,فتاوى رضويه,كتب فقه
book,كنز الدقائق,امام ابو البرکات عبد الله بن احمد نسفی حنفی,٧١٠ هـ,,,,,,دار البشائر الإسلامية,بيروت,الطبعة الأولى,١٤٣٢ هـ / ٢٠١١ م,Arabic,كنز الدقائق,كتب فقه
book,الكفاية على هامش فتح القدير,علامہ جلال الدین خوارزمی حنفی,,,,,,,دار الكتب العلمية,بيروت,,,Arabic,الكفاية,كتب فقه
book,كتاب الاختيار لتعليل المختار,علامہ عبد الله بن محمود موصلی حنفی,٦٨٣ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثانية,١٤٢٣ هـ / ٢٠٠٣ م,Arabic,الاختيار,كتب فقه
book,كبيري,علامہ ابراہیم حلبی حنفی,٩٥٦ هـ,,,,,,مكتبة نعمانية,كوئته,,,Arabic,كبيري,كتب فقه
book,كتاب الأصل,امام محمد بن حسن شیبانی حنفی,١٨٩ هـ,,,,,,عالم الكتب,,,,Arabic,كتاب الأصل,كتب فقه
book,اللباب في شرح الكتاب,علامہ عبد الغنی غنیمی میدانی حنفی,١٢٩٨ هـ,,,,,,دار الكتاب العربي,بيروت,الطبعة الأولى,١٤٢٣ هـ / ٢٠٠٢ م,Arabic,اللباب,كتب فقه
book,المحيط البرهاني,علامہ برہان الدین محمود بن احمد ابن مازہ بخاری حنفی,٦١٦ هـ,,,,,,إدارة القرآن,كراتشي,,,Arabic,المحيط البرهاني,كتب فقه
book,ملتقى الأبحر,علامہ ابراہیم بن محمد حلبی حنفی,٩٥٦ هـ,,,,,,دار البيروني,دمشق، شام,,,Arabic,ملتقى الأبحر,كتب فقه
book,مجمع البحرين,علامہ احمد بن علی ساعاتی بغدادی حنفی,٦٩٤ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٦ هـ / ٢٠٠٥ م,Arabic,مجمع البحرين,كتب فقه
book,مجمع الأنهر,علامہ عبد الرحمن بن محمد کلیبولی حنفی,١٠٧٨ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٩ هـ / ١٩٩٨ م,Arabic,مجمع الأنهر,كتب فقه
book,مختصر الوقاية,علامہ صدر الشريعة عبید الله بن مسعود حنفی,٧٤٧ هـ,,,,,,ميرمحمد كتب خانه,,,,Arabic,مختصر الوقاية,كتب فقه
book,مختصر الطحاوي,امام ابو جعفر احمد بن محمد طحاوی حنفی,٣٢١ هـ,,,,,,دار إحياء العلوم,بيروت,,,Arabic,مختصر الطحاوي,كتب فقه
book,نهر الفائق,علامہ سراج الدین ابن نجیم حنفی,١٠٠٥ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٢ هـ / ٢٠٠٢ م,Arabic,نهر الفائق,كتب فقه
book,شرح منلا مسكين,علامہ محمود بن محمد المشہور بمنلا مسکین حنفی,,,,,,,دار الكتب العلمية,,,,Arabic,شرح منلا مسكين,كتب فقه
book,تحفة الملوك,امام محمد بن ابی بکر رازی حنفی,٦٦٦ هـ,,,,,دار البشائر الإسلامية,بيروت,,,Arabic,تحفة الملوك,كتب فقه
book,مجموعة رسائل ابن عابدين,علامہ سید محمد امین ابن عابدین شامی حنفی,١٢٥٢ هـ,,,,,,عالم الكتب,بيروت,,,Arabic,رسائل ابن عابدين,كتب فقه
book,مراقي الفلاح,علامہ حسن بن عمار شرنبلالی حنفی,١٠٦٩ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٥ هـ,Arabic,مراقي الفلاح,كتب فقه
book,مختصر القدوري,امام ابو الحسین احمد بن محمد قدوری حنفی,٤٢٨ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,مختصر القدوري,كتب فقه
book,نور الإيضاح,علامہ حسن بن عمار شرنبلالی حنفی,١٠٦٩ هـ,,,,,,مكتبة بركات,كراچي,,,Arabic,نور الإيضاح,كتب فقه
book,الهداية,امام برہان الدین علی بن ابی بکر مرغینانی حنفی,٥٩٣ هـ,,,,,,دار الأرقم,بيروت,الطبعة الأولى,١٤١٠ هـ / ١٩٩٠ م,Arabic,الهداية,كتب فقه
book,الفتاوى الهندية,شیخ نظام الدین وجماعة من علماء ہند حنفی,١١٦١ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,الفتاوى الهندية,فتاوى
book,الفتاوى التاتارخانية,علامہ عالم بن علاء انصاری دہلوی حنفی,٧٨٦ هـ,,,,,,مكتبة فاروقية,كوئته,الطبعة الأولى,١٤٣١ هـ / ٢٠٠٠ م,Arabic,التاتارخانية,فتاوى
book,فتاوى النوازل,امام ابو اللیث نصر بن محمد سمرقندی حنفی,٣٧٥ هـ,,,,,,ميرمحمد كتب خانه,,,,Arabic,فتاوى النوازل,فتاوى
book,الفتاوى السراجية,علامہ سراج الدین علی بن عثمان اوشی حنفی,٥٦٩ هـ,,,,,,ميرمحمد كتب خانه,كوئته,,,Arabic,السراجية,فتاوى
book,فتاوى قاضي خان على هامش الهندية,امام حسن بن منصور اوزجندی قاضی خان حنفی,٥٩٢ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,فتاوى قاضيخان,فتاوى
book,الفتاوى البزازية على هامش الهندية,علامہ محمد بن شہاب الدین ابن بزاز کردری حنفی,٨٢٧ هـ,,,,,,دار المعرفة,بيروت,الطبعة الثالثة,١٣٩٣ هـ / ١٩٧٣ م,Arabic,البزازية,فتاوى
book,فتاوى رضويه,امام احمد رضا خان حنفی,١٣٤٠ هـ,,,,,,رضا فاؤنڈيشن,لاهور,,١٤٢٣ هـ / ٢٠٠٣ م,Urdu,فتاوى رضويه,فتاوى
book,تنقيح الفتاوى الحامدية,علامہ سید محمد امین ابن عابدین شامی حنفی,١٢٥٢ هـ,,,,,,مكتبة حقانية,پشاور,,,Arabic,تنقيح الحامدية,فتاوى
book,الفتاوى الخيرية,علامہ خیر الدین رملی حنفی,١٠٨١ هـ,,,,,,مكتبة حقانية,پشاور,,,Arabic,الفتاوى الخيرية,فتاوى
book,الفتاوى الانقروية,علامہ محمد حسین روحی انقروی حنفی,١٠٩٨ هـ,,,,,,دار الاشاعة العربية,كوئته,,,Arabic,الانقروية,فتاوى
book,فتاوى واحدى,علامہ مخدوم عبد الواحد سیوستانی حنفی,١٢٢٤ هـ,,,,,,در مطبع گيلاني اليكترك,لاهور,,١٣٤٦ هـ / ١٩٢٧ م,Arabic,فتاوى واحدى,فتاوى
book,وقار الفتاوى,مفتی وقار الدین قادری حنفی,١٣١٣ هـ,,,,,,بزم وقار الدين,كراچي,,١٩٩٩ م,Arabic,وقار الفتاوى,فتاوى
book,فتاوى مجيديه,صدر الشریعہ مفتی محمد امجد علی اعظمی حنفی,١٣٦٧ هـ,,,,,,مكتبة رضوية آرام باغ,كراچي,,١٣٤١ هـ / ٢٠٠٩ م,Arabic,فتاوى مجيديه,فتاوى
book,الفتاوى الغياثية,علامہ داود بن یوسف داودی حنفی,,,,,,,جان محمد بستي پيلشرز,كوئته,,,Arabic,الغياثية,فتاوى
book,حلية الأولياء,امام ابو نعیم احمد بن عبد الله اصبہانی شافعی,٤٣٠ هـ,,,,,,دار الكتاب العربي,بيروت,,,Arabic,حلية الأولياء,كتب حديث
book,الدراية في تخريج أحاديث الهداية,امام احمد بن علی ابن حجر عسقلانی شافعی,٨٥٢ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,الدراية,كتب حديث
book,السنن الكبرى للبيهقي,امام ابو بکر احمد بن حسین بیہقی شافعی,٤٥٨ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٠ هـ / ١٩٩٩ م,Arabic,السنن الكبرى للبيهقي,كتب حديث
book,السنن الكبرى للنسائي,امام احمد بن شعیب نسائی شافعی,٣٠٣ هـ,,,,,,دار الكتب العلمية,,,,Arabic,السنن الكبرى للنسائي,كتب حديث
book,سنن أبي داود,امام سلیمان بن اشعث سجستانی ابو داود,٢٧٥ هـ,,,,,,دار ابن حزم,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,سنن أبي داود,كتب حديث
book,سنن الترمذي,امام محمد بن عیسی ترمذی,٢٧٩ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢١ هـ / ٢٠٠٠ م,Arabic,سنن الترمذي,كتب حديث
book,سنن الدارمي,امام ابو عبد الله محمد بن عبد الرحمن دارمی,٢٥٥ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٦ م,Arabic,سنن الدارمي,كتب حديث
book,سنن النسائي,امام احمد بن شعیب نسائی شافعی,٣٠٣ هـ,,,,,,دار الفكر,بيروت,,١٤١٥ هـ / ١٩٩٥ م,Arabic,سنن النسائي,كتب حديث
book,سنن الدارقطني,امام علی بن عمر ابو الحسن دارقطنی شافعی,٣٨٥ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٧ هـ / ١٩٩٦ م,Arabic,سنن الدارقطني,كتب حديث
book,شعب الإيمان للبيهقي,امام ابو بکر احمد بن حسین بیہقی شافعی,٤٥٨ هـ,,,,,,مكتبة الرشد,بيروت,الطبعة الأولى,١٤٣٣ هـ / ٢٠٠٢ م,Arabic,شعب الإيمان,كتب حديث
